"id","grade","cal_year","measure","score","time","program_year","time_cont","student_year","domain_type","grade_diff","start_grade_diff","fall_score","spring_score","raw_growth","start_grade_diff_c","time_c"
"1020810",9,2009,"mf",5.6,1,1,1,"1020810_2009","math",-3.4,-3.4,5.6,10.5,4.9,-2.98121445299431,-1.04895489548955
"1021517",8,2016,"rc",12.9,1,1,1,"1021517_2016","reading",4.9,4.9,12.9,10.8,-2.1,5.31878554700569,-1.04895489548955
"1021517",8,2016,"lwid",9.7,1,1,1,"1021517_2016","reading",1.7,1.7,9.7,12.9,3.2,2.11878554700569,-1.04895489548955
"1021517",8,2016,"wa",10.2,1,1,1,"1021517_2016","reading",2.2,2.2,10.2,12.9,2.7,2.61878554700569,-1.04895489548955
"1021517",8,2016,"ed",9,1,1,1,"1021517_2016","other",1,1,9,10.2,1.2,1.41878554700569,-1.04895489548955
"1021517",8,2016,"wf",12.9,1,1,1,"1021517_2016","writing",4.9,4.9,12.9,12.9,0,5.31878554700569,-1.04895489548955
"1021517",8,2016,"ws",10.6,1,1,1,"1021517_2016","writing",2.6,2.6,10.6,12.9,2.3,3.01878554700569,-1.04895489548955
"1021517",8,2016,"calc",6.6,1,1,1,"1021517_2016","math",-1.4,-1.4,6.6,11.6,5,-0.981214452994313,-1.04895489548955
"1021517",8,2016,"comp",5.2,1,1,1,"1021517_2016","composite",-2.8,-2.8,5.2,7.5,2.3,-2.38121445299431,-1.04895489548955
"1021517",8,2016,"psdi",6.3,1,1,1,"1021517_2016","math",-1.7,-1.7,6.3,7.7,1.4,-1.28121445299431,-1.04895489548955
"1021517",8,2016,"mf",3,1,1,1,"1021517_2016","math",-5,-5,3,7.9,4.9,-4.58121445299431,-1.04895489548955
"1022325",4,2024,"rc",1.7,1,1,1,"1022325_2024","reading",-2.3,-2.3,1.7,5.2,3.5,-1.88121445299431,-1.04895489548955
"1022325",4,2024,"lwid",2.5,1,1,1,"1022325_2024","reading",-1.5,-1.5,2.5,3.5,1,-1.08121445299431,-1.04895489548955
"1022325",4,2024,"wa",2.8,1,1,1,"1022325_2024","reading",-1.2,-1.2,2.8,4.8,2,-0.781214452994313,-1.04895489548955
"1022325",4,2024,"rf",2.2,1,1,1,"1022325_2024","reading",-1.8,-1.8,2.2,3.3,1.1,-1.38121445299431,-1.04895489548955
"1022325",4,2024,"ws",2.2,1,1,1,"1022325_2024","writing",-1.8,-1.8,2.2,2.9,0.7,-1.38121445299431,-1.04895489548955
"1022325",4,2024,"we",3,1,1,1,"1022325_2024","other",-1,-1,3,5.7,2.7,-0.581214452994312,-1.04895489548955
"1022325",4,2024,"ed",2.5,1,1,1,"1022325_2024","other",-1.5,-1.5,2.5,5.2,2.7,-1.08121445299431,-1.04895489548955
"1022325",4,2024,"towl",4.2,1,1,1,"1022325_2024","other",0.2,0.2,4.2,6.2,2,0.618785547005688,-1.04895489548955
"1022325",4,2024,"comp",1.3,1,1,1,"1022325_2024","composite",-2.7,-2.7,1.3,4.5,3.2,-2.28121445299431,-1.04895489548955
"1022325",4,2024,"ce",2,1,1,1,"1022325_2024","math",-2,-2,2,4.3,2.3,-1.58121445299431,-1.04895489548955
"1022325",4,2024,"calc",2.9,1,1,1,"1022325_2024","math",-1.1,-1.1,2.9,5.2,2.3,-0.681214452994312,-1.04895489548955
"1022325",4,2024,"mf",1,1,1,1,"1022325_2024","math",-3,-3,1,5.1,4.1,-2.58121445299431,-1.04895489548955
"102325",3,2023,"rc",1.3,1,1,1,"102325_2023","reading",-1.7,-1.7,1.3,2,0.7,-1.28121445299431,-1.04895489548955
"102325",3,2023,"lwid",1.2,1,1,1,"102325_2023","reading",-1.8,-1.8,1.2,2.4,1.2,-1.38121445299431,-1.04895489548955
"102325",3,2023,"wa",2.5,1,1,1,"102325_2023","reading",-0.5,-0.5,2.5,3.2,0.7,-0.0812144529943125,-1.04895489548955
"102325",3,2023,"rf",0.8,1,1,1,"102325_2023","reading",-2.2,-2.2,0.8,3,2.2,-1.78121445299431,-1.04895489548955
"102325",3,2023,"cap",NA,1,1,1,"102325_2023","writing",NA,NA,NA,NA,NA,NA,-1.04895489548955
"102325",3,2023,"ed",NA,1,1,1,"102325_2023","other",NA,NA,NA,0.8,NA,NA,-1.04895489548955
"102325",3,2023,"ue",NA,1,1,1,"102325_2023","writing",NA,NA,NA,NA,NA,NA,-1.04895489548955
"102325",3,2023,"lang",NA,1,1,1,"102325_2023","composite",NA,NA,NA,NA,NA,NA,-1.04895489548955
"102325",3,2023,"wf",0,1,1,1,"102325_2023","writing",-3,-3,0,1.1,1.1,-2.58121445299431,-1.04895489548955
"102325",3,2023,"ws",NA,1,1,1,"102325_2023","writing",NA,NA,NA,NA,NA,NA,-1.04895489548955
"102325",3,2023,"ce",NA,1,1,1,"102325_2023","math",NA,NA,NA,NA,NA,NA,-1.04895489548955
"102325",3,2023,"comp",0.6,1,1,1,"102325_2023","composite",-2.4,-2.4,0.6,2.8,2.2,-1.98121445299431,-1.04895489548955
"102325",3,2023,"psdi",1,1,1,1,"102325_2023","math",-2,-2,1,2.1,1.1,-1.58121445299431,-1.04895489548955
"102325",3,2023,"calc",1.3,1,1,1,"102325_2023","math",-1.7,-1.7,1.3,2.4,1.1,-1.28121445299431,-1.04895489548955
"102325",3,2023,"mf",2.1,1,1,1,"102325_2023","math",-0.9,-0.9,2.1,2.9,0.8,-0.481214452994312,-1.04895489548955
"102325",4,2024,"rc",1.9,1,2,3,"102325_2024","reading",-2.1,-2.1,1.9,2.5,0.6,-1.68121445299431,0.951045104510451
"102325",4,2024,"lwid",2.3,1,2,3,"102325_2024","reading",-1.7,-1.7,2.3,3.1,0.8,-1.28121445299431,0.951045104510451
"102325",4,2024,"wa",3.1,1,2,3,"102325_2024","reading",-0.9,-0.9,3.1,3.6,0.5,-0.481214452994312,0.951045104510451
"102325",4,2024,"rf",3.4,1,2,3,"102325_2024","reading",-0.6,-0.6,3.4,3.6,0.2,-0.181214452994313,0.951045104510451
"102325",4,2024,"ws",1.1,1,2,3,"102325_2024","writing",-2.9,-2.9,1.1,1.9,0.8,-2.48121445299431,0.951045104510451
"102325",4,2024,"we",1.2,1,2,3,"102325_2024","other",-2.8,-2.8,1.2,2.2,1,-2.38121445299431,0.951045104510451
"102325",4,2024,"ed",2.3,1,2,3,"102325_2024","other",-1.7,-1.7,2.3,2.5,0.2,-1.28121445299431,0.951045104510451
"102325",4,2024,"towl",3.2,1,2,3,"102325_2024","other",-0.8,-0.8,3.2,NA,NA,-0.381214452994312,0.951045104510451
